"B1","B2","B3","Bp/Bt","Points:0","Points:1","Points:2","arc_length","p_1","p_2","psi","rho_1","rho_2","v1_1","v1_2","v2_1","v2_2","v3_1","v3_2","vtkValidPointMask"
0.048869,0.035895,0.09581,0.038374,-0.933,0,0,0.067,0.35226,0.4101,0.00011842,0.54889,0.55143,-0.073428,-0.073783,0.021024,0.023906,-0.0017189,-0.00089943,1
0.048869,0.035895,0.09581,0.038374,-0.932,0,0,0.068,0.35226,0.4101,0.00011842,0.54889,0.55143,-0.073428,-0.073783,0.021024,0.023906,-0.0017189,-0.00089943,1
0.048436,0.035676,0.095743,0.037797,-0.931,0,0,0.069,0.35212,0.40995,-5.6324e-05,0.54965,0.5515,-0.074133,-0.074379,0.023719,0.026413,-0.0016221,-0.00084061,1
0.048436,0.035676,0.095743,0.037797,-0.93,0,0,0.07,0.35212,0.40995,-5.6324e-05,0.54965,0.5515,-0.074133,-0.074379,0.023719,0.026413,-0.0016221,-0.00084061,1
0.048301,0.034876,0.09566,0.037103,-0.929,0,0,0.071,0.3519,0.40978,-0.00022645,0.55064,0.55165,-0.075469,-0.075289,0.026774,0.029171,-0.0014742,-0.00073642,1
0.048301,0.034876,0.09566,0.037103,-0.928,0,0,0.072,0.3519,0.40978,-0.00022645,0.55064,0.55165,-0.075469,-0.075289,0.026774,0.029171,-0.0014742,-0.00073642,1
0.048265,0.033437,0.095537,0.036086,-0.927,0,0,0.073,0.35169,0.4096,-0.00030253,0.55124,0.55172,-0.077048,-0.076256,0.029918,0.032036,-0.0013146,-0.00063548,1
0.048265,0.033437,0.095537,0.036086,-0.926,0,0,0.074,0.35169,0.4096,-0.00030253,0.55124,0.55172,-0.077048,-0.076256,0.029918,0.032036,-0.0013146,-0.00063548,1
0.048126,0.031303,0.095346,0.034569,-0.925,0,0,0.075,0.35155,0.40943,-0.00019517,0.55084,0.55158,-0.07848,-0.077023,0.032881,0.034867,-0.0011826,-0.00058636,1
0.048126,0.031303,0.095346,0.034569,-0.924,0,0,0.076,0.35155,0.40943,-0.00019517,0.55084,0.55158,-0.07848,-0.077023,0.032881,0.034867,-0.0011826,-0.00058636,1
0.047682,0.028417,0.09506,0.032413,-0.923,0,0,0.077,0.35156,0.4093,0.00018505,0.54883,0.55108,-0.079379,-0.07733,0.035394,0.037523,-0.0011179,-0.00063767,1
